drug.name,k,l,m,n,OR,pvalue,adj.pvalue
Dihydrogenphosphate Ion,73,57,9,155,21.7807989457607,3.60039762542891E-23,6.26198582998094E-21
Lonidamine,61,29,21,183,18.0580299671039,3.81884094654693E-23,6.56643674356657E-21
Aldosterone,81,89,1,123,110.531575169722,4.83488157103211E-23,8.22009242236334E-21
Acetaminophen,78,75,4,137,35.2189255499469,5.90392320142424E-23,9.92610938171117E-21
Iloprost,71,52,11,160,19.6009611692717,6.25797207752527E-23,1.04057429936435E-20
Histamine,79,80,3,132,42.9721555551053,9.62145613793959E-23,1.58246401698761E-20
Acetylcysteine,78,76,4,136,34.5069587179635,1.1630546706453E-22,1.89233511189759E-20
Flurbiprofen,72,56,10,156,19.8089788725772,1.5757225356285E-22,2.53648769139779E-20
Kaempherol,73,59,9,153,20.7797710100078,1.62818829366911E-22,2.59335451342882E-20
Fluconazole,65,39,17,173,16.7345653646367,2.43957984034767E-22,3.84525078407823E-20
Purvalanol,63,35,19,177,16.5392534159017,2.96835080836848E-22,4.63046235838143E-20
Lithium,78,78,4,134,33.1372329547905,4.42296984816382E-22,6.82918329954718E-20
Ceruletide,68,47,14,165,16.8413801187,5.81857177314606E-22,8.83992271639562E-20
Etodolac,65,40,17,172,16.2265364735802,5.84208136979806E-22,8.83992271639562E-20
Vandetanib,60,30,22,182,16.3131768189175,6.49803964955456E-22,9.63968964478741E-20
SB220025,60,30,22,182,16.3131768189175,6.49803964955456E-22,9.63968964478741E-20
Regorafenib,62,34,20,178,16.0095670641048,7.55940373697879E-22,1.09985407509815E-19
Olomoucine,62,34,20,178,16.0095670641048,7.55940373697879E-22,1.09985407509815E-19
Prasterone,74,65,8,147,20.6822236753231,1.29558183972312E-21,1.86705202363666E-19
Doxazosin,65,41,17,171,15.7430750195456,1.37720307338283E-21,1.96595233704428E-19
Bortezomib,76,72,6,140,24.3681527914268,1.42424204795341E-21,2.01409936336145E-19
Ouabain,73,62,9,150,19.3979998338857,1.45772704717289E-21,2.04236482889694E-19
Busulfan,62,35,20,177,15.4696401778365,1.88762797147889E-21,2.62041919980442E-19
Salirasib,49,14,33,198,20.6626491140864,2.0809207939456E-21,2.86248837342578E-19
Bradykinin,57,26,25,186,16.0800537351169,2.45618258385635E-21,3.34825507163962E-19
Emodin,66,44,16,168,15.554381533831,2.51395446399352E-21,3.39641109409715E-19
Trametinib,51,17,31,195,18.5858867223415,3.22539689461693E-21,4.31902369371005E-19
Framycetin,61,34,21,178,15.0077284670698,4.64611649107015E-21,6.16688869201179E-19
"9,10-Deepithio-9,10-Didehydroacanthifolicin",71,58,11,154,16.9383915762652,5.91316263953228E-21,7.78041657686897E-19
Leukotriene D4,68,50,14,162,15.5536574301676,6.22855780309128E-21,8.12475692171538E-19
Liothyronine,58,29,24,183,15.0442771564779,8.51677140776798E-21,1.09341295023275E-18
Vitamin E,79,87,3,125,37.4529870232684,8.52678581540049E-21,1.09341295023275E-18
Rotenone,76,75,6,137,22.9014270358125,1.04785371271355E-20,1.33239980870529E-18
Etoposide,77,79,5,133,25.6615081558442,1.18062090555984E-20,1.48870994512108E-18
Indole-3-carbinol,68,51,14,161,15.157778731757,1.34002963257048E-20,1.6757525866081E-18
Etorphine,57,28,25,184,14.7818072412084,1.81155267542812E-20,2.22857226770257E-18
Uridine 5'-triphosphate,57,28,25,184,14.7818072412084,1.81155267542812E-20,2.22857226770257E-18
Doxorubicin,79,89,3,123,36.0339986229407,2.91543812433431E-20,3.55764827859402E-18
Phenylephrine,65,45,17,167,14.0223485101629,3.6701159175653E-20,4.44273730786631E-18
"4,4'-PROPANE-2,2-DIYLDIPHENOL",69,55,13,157,14.9842240916119,3.75143881319081E-20,4.5051389351147E-18
Dihydrotestosterone,73,67,9,145,17.3672448519617,4.71363061671431E-20,5.57219675443972E-18
Gefitinib,73,67,9,145,17.3672448519617,4.71363061671431E-20,5.57219675443972E-18
Formaldehyde,68,53,14,159,14.4104430434852,5.99359061397751E-20,7.03037080643844E-18
Dexamethasone,77,82,5,130,24.1741520534605,7.85722082159377E-20,9.14547934229506E-18
Calcium gluconate,56,28,26,184,13.9696678363502,9.85143315146534E-20,1.1379128076623E-17
LY-294002,81,102,1,110,86.4041017378994,1.24308451917989E-19,1.42497614264915E-17
Boceprevir,44,11,38,201,20.8282623112971,1.30643774569401E-19,1.48633924567005E-17
Dabrafenib,48,16,34,196,17.041936287225,1.36444441801504E-19,1.54074908021669E-17
5'-Guanosine-Diphosphate-Monothiophosphate,60,36,22,176,13.1697923897468,1.56888411453268E-19,1.74555213206904E-17
Mesalazine,60,36,22,176,13.1697923897468,1.56888411453268E-19,1.74555213206904E-17
Guanosine-5'-Triphosphate,75,76,7,136,18.9910644937089,2.06946675472702E-19,2.28569750061817E-17
"3,3'-diindolylmethane",64,45,18,167,13.0445712907226,2.24126465814576E-19,2.45750790262484E-17
5-iodotubercidin,56,29,26,183,13.4191293171179,2.53767195879508E-19,2.76249529529303E-17
L-Alanine,68,55,14,157,13.7169923371089,2.5659308886628E-19,2.77330596453106E-17
Lycopene,66,50,16,162,13.2202305445895,2.72994478262299E-19,2.92964917479667E-17
Triptolide,74,73,8,139,17.4341157150211,2.80714788472772E-19,2.99128514811458E-17
Mevastatin,57,31,25,181,13.1466311692205,3.03808615948893E-19,3.21473305112928E-17
Temsirolimus,51,21,31,191,14.7638014709278,3.10352547629607E-19,3.26117188262317E-17
Myricetin,69,58,13,154,13.9467746022623,3.20421792733288E-19,3.34375855301356E-17
Cyproheptadine,60,37,22,175,12.7449387644898,3.66563760972638E-19,3.77322809573722E-17
Iron,60,37,22,175,12.7449387644898,3.66563760972638E-19,3.77322809573722E-17
Zinc,75,77,7,135,18.6087242778392,3.88944224389674E-19,3.97655027905031E-17
Isoprenaline,78,90,4,122,26.1858311389039,7.95102603023162E-19,8.07453968577904E-17
Ponatinib,58,34,24,178,12.4969730227243,8.18974368758188E-19,8.26151921808593E-17
Anthranilic acid,46,15,36,197,16.5423573867067,9.92832237864796E-19,9.94818704734658E-17
Butyric Acid,74,75,8,137,16.7291276931224,9.99324796349867E-19,9.94818704734658E-17
Ciglitazone,64,47,18,165,12.3453803676651,1.03549116855201E-18,1.02408459915998E-16
L-Arginine,67,55,15,157,12.6192127034014,1.63732324178732E-18,1.60006025800822E-16
Sorafenib,77,87,5,125,21.9212141135267,1.63903100873455E-18,1.60006025800822E-16
Caffeine,73,73,9,139,15.2941154081804,2.34289539585042E-18,2.24376143122715E-16
Desipramine,73,73,9,139,15.2941154081804,2.34289539585042E-18,2.24376143122715E-16
Deoxycholic Acid,73,73,9,139,15.2941154081804,2.34289539585042E-18,2.24376143122715E-16
Rbt205 Inhibitor,71,67,11,145,13.8290595508512,2.84101435963076E-18,2.70369172024052E-16
Ethinyl Estradiol,67,56,15,156,12.3171054258962,3.28926824617494E-18,3.11071466327053E-16
Dinoprostone,78,93,4,119,24.7258161093616,4.56073917762611E-18,4.28637562665796E-16
Ferulic acid,63,47,19,165,11.5140703320371,5.81700931005087E-18,5.43332409052152E-16
Cisplatin,81,109,1,103,75.7677916299565,6.20875559954997E-18,5.76365300728402E-16
Vorinostat,67,57,15,155,12.0255118001195,6.54129663893052E-18,6.0353277945222E-16
Glycerin,46,17,36,195,14.4615954465871,1.02746057496534E-17,9.42241197117716E-16
Chloroquine,74,79,8,133,15.4255913328625,1.16641525090956E-17,1.05980926126705E-15
Diazepinomicin,42,12,40,200,17.2514632539186,1.16966990242324E-17,1.05980926126705E-15
Fendiline,41,11,41,201,18.010302383423,1.45409367919846E-17,1.30192674472259E-15
Lomustine,41,11,41,201,18.010302383423,1.45409367919846E-17,1.30192674472259E-15
Staurosporine,73,76,9,136,14.3791930731756,1.49602726403754E-17,1.33159284675502E-15
Acetylsalicylic acid,79,100,3,112,29.2353099052345,1.73928735731408E-17,1.5390619322029E-15
ATP,82,118,0,94,Inf,1.80509378583668E-17,1.57195505612768E-15
Phenethyl Isothiocyanate,69,64,13,148,12.1601558581439,1.80762569735176E-17,1.57195505612768E-15
Oxygen,69,64,13,148,12.1601558581439,1.80762569735176E-17,1.57195505612768E-15
TNP-470,37,7,45,205,23.7000254704031,2.02251067687309E-17,1.74877381094951E-15
Capsaicin,78,96,4,116,23.3562653815007,2.49815736410955E-17,2.14777108244494E-15
Paclitaxel,79,101,3,111,28.6900445758582,3.0207816570036E-17,2.58242035166227E-15
Lovastatin,78,97,4,115,22.9184126363859,4.36028060357348E-17,3.70659643077472E-15
Mitomycin,58,39,24,173,10.6050211628913,4.91043103538308E-17,4.15094951632593E-15
Celecoxib,73,79,9,133,13.533150343721,8.98428660707211E-17,7.51079467256774E-15
Cholesterol,73,79,9,133,13.533150343721,8.98428660707211E-17,7.51079467256774E-15
Melatonin,76,90,6,122,17.0239939296305,9.41561862750142E-17,7.82813556453958E-15
Plicamycin,56,36,26,176,10.4147796849442,1.05908488279826E-16,8.75710477441062E-15
Dinoprost,71,73,11,139,12.1780475711719,1.20242996977601E-16,9.88832736354155E-15
Semapimod,52,29,30,183,10.8151401553809,1.42658777190954E-16,1.16683013074761E-14
Calcitriol,82,122,0,90,Inf,1.43979279154836E-16,1.17129939033404E-14
Metformin,79,104,3,108,27.1166319288192,1.5404630843125E-16,1.23986474904759E-14
Simvastatin,79,104,3,108,27.1166319288192,1.5404630843125E-16,1.23986474904759E-14
"3-(4-HYDROXYPHENYL)-1-(2,4,6-TRIHYDROXYPHENYL)PROPAN-1-ONE",55,35,27,177,10.1950593695574,2.21481179119285E-16,1.77319251471715E-14
Berberine,78,100,4,112,21.6569583589877,2.25277737971108E-16,1.79409543974137E-14
Bosutinib,57,39,25,173,10.0085444613115,2.33917724867236E-16,1.85315024156489E-14
Amsacrine,46,20,36,192,12.1162866692406,2.50924846664227E-16,1.97753102280682E-14
Troglitazone,81,116,1,96,66.4011491350867,2.55207194044211E-16,2.0008589309396E-14
Morphine,79,105,3,107,26.6119733275,2.62832011444234E-16,2.05001668289863E-14
Fluorouracil,72,78,10,134,12.2607628454314,3.49665592930565E-16,2.71330837325181E-14
Palmitic Acid,80,111,2,101,36.0986676689655,4.03022293428475E-16,3.11138579971279E-14
Haloperidol,66,61,16,151,10.1178330546981,5.11461480487186E-16,3.90866641987778E-14
Raloxifene,66,61,16,151,10.1178330546981,5.11461480487186E-16,3.90866641987778E-14
Fenofibrate,73,83,9,129,12.4994330491984,8.96194559443813E-16,6.78036657046029E-14
Propofol,73,83,9,129,12.4994330491984,8.96194559443813E-16,6.78036657046029E-14
7-ethyl-10-hydroxycamptothecin,47,23,35,189,10.9058073693683,1.06390509190141E-15,8.00917340490203E-14
Amphetamine,68,68,14,144,10.1935811834616,1.28205855433357E-15,9.60367286186454E-14
Clioquinol,32,5,50,207,26.0999380282157,1.44129381237989E-15,1.07432912800889E-13
Lupeol,37,10,45,202,16.3893462814101,1.53138116475603E-15,1.13588404751679E-13
GW-501516,41,15,41,197,12.9707873921533,1.89360918118043E-15,1.39771091316955E-13
Quercetin,79,109,3,103,24.6851868334912,2.13479668273345E-15,1.56051174032405E-13
Progesterone,79,109,3,103,24.6851868334912,2.13479668273345E-15,1.56051174032405E-13
Cerivastatin,77,100,5,112,17.1098743604403,2.33869599985071E-15,1.70134075077167E-13
Sirolimus,80,115,2,97,33.4733029580032,3.15109537587821E-15,2.28137211465297E-13
Nicotine,81,121,1,91,60.3673536598603,3.25121566975906E-15,2.34264969197164E-13
Sorbitol,48,26,34,186,9.99176895458749,3.75647977821161E-15,2.69388757102909E-13
Theophylline,69,73,13,139,10.0205357445816,4.34964691741548E-15,3.10455251221813E-13
Masoprocol,57,43,25,169,8.87578097446047,4.37148292946168E-15,3.10548939091691E-13
Bexarotene,46,23,36,189,10.3815086488566,4.48609678498926E-15,3.17201865076528E-13
Colforsin,78,106,4,106,19.3465639881471,5.31418324002814E-15,3.74006312245921E-13
"N~2~,N~2~-DIMETHYL-N~1~-(6-OXO-5,6-DIHYDROPHENANTHRIDIN-2-YL)GLYCINAMIDE",47,25,35,187,9.93900963823141,6.50881541210608E-15,4.55962441708441E-13
Testosterone,77,102,5,110,16.477688063085,6.64045694243948E-15,4.63040627227302E-13
Dimethyl sulfoxide,62,55,20,157,8.77033197970985,6.97939450073858E-15,4.84442369711655E-13
Tarenflurbil,34,8,48,204,17.8220977854908,7.89118753862598E-15,5.44037502197863E-13
Captopril,58,46,24,166,8.64067114159568,7.90989379394322E-15,5.44037502197863E-13
Eflornithine,48,27,34,185,9.57227102616699,8.86298419793797E-15,6.06832130700079E-13
Tretinoin,81,124,1,88,56.9783120224196,1.4363094218914E-14,9.78984693137318E-13
Cyclic Adenosine Monophosphate,79,113,3,99,22.8937414081626,1.62418986488756E-14,1.10207918421012E-12
Apigenin,74,92,8,120,11.9673328040144,1.73335057159276E-14,1.17089851778088E-12
Zinc oxide,46,25,36,187,9.45547184631642,2.64594192810239E-14,1.77102846810327E-12
Thymectacin,30,5,52,207,23.5441516036635,2.71539279040301E-14,1.77102846810327E-12
Cidofovir,30,5,52,207,23.5441516036635,2.71539279040301E-14,1.77102846810327E-12
"(3s,6s,9r,10r,11s,12s,13e,15e,18s,21s)-18-{(1e,3e,7s,8s)-9-[(2s,3r,4s,5s,6r,9s,11s)-9-Ethyl-4-Hydroxy-3,5,11-Trimethyl-8-Oxo-1-Oxa-7-Azaspiro[5.5]Undec-2-Yl]-8-Hydroxy-1,7-Dimethylnona-1,3-Dienyl}-10,12-Dihydroxy-3-(3-Hydroxybenzyl)-6-Isopropyl-11-Methyl-",30,5,52,207,23.5441516036635,2.71539279040301E-14,1.77102846810327E-12
1-(9-ethyl-9H-carbazol-3-yl)-N-methylmethanamine,30,5,52,207,23.5441516036635,2.71539279040301E-14,1.77102846810327E-12
Cilengitide,30,5,52,207,23.5441516036635,2.71539279040301E-14,1.77102846810327E-12
APR-246,30,5,52,207,23.5441516036635,2.71539279040301E-14,1.77102846810327E-12
CHS-828,30,5,52,207,23.5441516036635,2.71539279040301E-14,1.77102846810327E-12
2'-cyano-2'-deoxy-1-(beta-D-arabinofuranosyl)cytosine,31,6,51,206,20.5768327354179,3.15149156922187E-14,2.04663829100543E-12
Medroxyprogesterone acetate,57,46,25,166,8.15444916531564,3.39524811834192E-14,2.19551559523757E-12
Amitriptyline,44,23,38,189,9.41455071057183,7.29635769963349E-14,4.69806608173538E-12
Entinostat,55,43,27,169,7.93467064798249,7.78441900253466E-14,4.99108616756641E-12
Amifostine,35,11,47,201,13.445058842836,9.26542246027763E-14,5.91558564592555E-12
Spironolactone,58,50,24,162,7.76245979393916,1.08270293982697E-13,6.88356195338727E-12
Butyl alcohol,41,19,41,193,10.0479114122555,1.13857424593969E-13,7.2084903538807E-12
Dinaciclib,33,9,49,203,14.998953321224,1.25423300764631E-13,7.90765750118913E-12
Danusertib,30,6,52,206,19.5367515353868,1.31333080621871E-13,8.24589794390303E-12
Bleomycin,60,55,22,157,7.72039949031791,1.3638808068655E-13,8.52789645235625E-12
PICEATANNOL,50,34,32,178,8.10395151117471,1.37558680455841E-13,8.53058945236778E-12
Azacitidine,50,34,32,178,8.10395151117471,1.37558680455841E-13,8.53058945236778E-12
Didanosine,31,7,51,205,17.5590996815239,1.38268750780965E-13,8.5396254200071E-12
3-isobutyl-1-methyl-7H-xanthine,52,38,30,174,7.8646009665989,1.58984719169301E-13,9.77915080624007E-12
Dopamine,73,93,9,119,10.3013086564904,1.86510669913361E-13,1.14258257169161E-11
Momelotinib,39,17,43,195,10.2901204776867,2.49196250648896E-13,1.52044491144116E-11
Nimesulide,56,47,26,165,7.49744612125346,2.6597019714841E-13,1.61627216860402E-11
AEE-788,35,12,47,200,12.2659775009971,2.96269641305732E-13,1.79319702453747E-11
Deferoxamine,54,43,28,169,7.5161312427406,3.09726712971967E-13,1.86717837377754E-11
Icaritin,32,9,50,203,14.2583774000845,5.00350741955589E-13,2.99250506053134E-11
2-{4-[(2s)-2-[({[(1s)-1-Carboxy-2-Phenylethyl]Amino}Carbonyl)Amino]-3-Oxo-3-(Pentylamino)Propyl]Phenoxy}Malonic Acid,32,9,50,203,14.2583774000845,5.00350741955589E-13,2.99250506053134E-11
Nitric Oxide,74,100,8,112,10.288039097239,9.82730815901405E-13,5.85439100071772E-11
AICA ribonucleotide,34,12,48,200,11.6711345938259,1.14466721090137E-12,6.79234800323822E-11
Folic Acid,45,28,37,184,7.91645666947317,1.16864482278093E-12,6.90754051187394E-11
Edaravone,53,43,29,169,7.12300634199927,1.18664327148818E-12,6.98663289393266E-11
Rigosertib,37,16,45,196,9.96497828845043,1.34883545149551E-12,7.91079504059606E-11
Selumetinib,26,4,56,208,23.8135273432737,1.54223020703106E-12,9.01011445205488E-11
Pazopanib,47,32,35,180,7.48490404550192,1.71595696163122E-12,9.98651387125104E-11
Decitabine,71,91,11,121,8.52168760212701,2.12509243050421E-12,1.23202120725317E-10
Fluoxetine,65,73,17,139,7.22744808108149,2.40804926334204E-12,1.39073678728211E-10
Indirubin,38,18,44,194,9.21293602857155,2.42133398146864E-12,1.39309205409672E-10
Lidocaine,62,65,20,147,6.95864146995243,2.45448863190297E-12,1.40681815632808E-10
Estradiol,81,135,1,77,45.8288051838107,2.60804080973182E-12,1.48918747687802E-10
Pioglitazone,68,82,14,130,7.64514344803934,2.77976903357023E-12,1.58127695793835E-10
Bupropion,50,39,32,173,6.87526792390337,4.40617378964189E-12,2.49707293741216E-10
Genistein,78,120,4,92,14.847320874433,4.73244879691057E-12,2.67197257533585E-10
Temozolomide,38,19,44,193,8.68607314865984,5.96246608045216E-12,3.35393396780057E-10
Epigallocatechin Gallate,80,131,2,81,24.56783018766,6.64438529110892E-12,3.72367621346371E-10
Tacrolimus,72,97,10,115,8.47788573468194,7.38430470292144E-12,4.1230745233399E-10
Alectinib,22,2,60,210,37.9610621327352,1.09092958913572E-11,6.06888186518571E-10
Donepezil,42,26,40,186,7.4440597701756,1.16341684874989E-11,6.44842374525978E-10
Palbociclib,36,17,46,195,8.88757636092898,1.26681971453524E-11,6.97048482505287E-10
Daporinad,36,17,46,195,8.88757636092898,1.26681971453524E-11,6.97048482505287E-10
Hydrogen peroxide,82,146,0,66,Inf,1.34418569927391E-11,7.36938176077307E-10
Cordycepin,50,41,32,171,6.46536810945455,1.5816439842155E-11,8.63992219070948E-10
Adenosine,70,92,12,120,7.5576074131501,1.68054969322664E-11,9.14718430204249E-10
Navitoclax,23,3,59,209,26.809398400949,1.80178664673702E-11,9.77192279900005E-10
Tacrine,31,11,51,201,10.9893384795271,1.98442007559148E-11,1.07239911567553E-9
PD-0325901,20,1,62,211,67.0686850723166,2.07052521151321E-11,1.11494917281803E-9
Quinolinic Acid,30,10,52,202,11.5276992219043,2.39334275374029E-11,1.28421180313469E-9
Terbutaline,40,24,42,188,7.3921151301438,3.00238952826499E-11,1.60531945029401E-9
