Mouse.gene,Human.gene,Drugbank.id,Drug.name,Status,Geroprotector
Mapk14,MAPK14,DB07829,4-[3-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL]PYRIDINE,experimental,FALSE
Mapk14,MAPK14,DB07832,"4-{4-[(5-hydroxy-2-methylphenyl)amino]quinolin-7-yl}-1,3-thiazole-2-carbaldehyde",experimental,FALSE
Mapk14,MAPK14,DB07833,"N-(3-cyanophenyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)-4-biphenylcarboxamide",experimental,FALSE
Mapk14,MAPK14,DB07834,"N-(cyclopropylmethyl)-2'-methyl-5'-(5-methyl-1,3,4-oxadiazol-2-yl)biphenyl-4-carboxamide",experimental,FALSE
Mapk14,MAPK14,DB07835,"N~3~-cyclopropyl-N~4~'-(cyclopropylmethyl)-6-methylbiphenyl-3,4'-dicarboxamide",experimental,FALSE
Mapk14,MAPK14,DB07941,"3-{3-bromo-4-[(2,4-difluorobenzyl)oxy]-6-methyl-2-oxopyridin-1(2H)-yl}-N,4-dimethylbenzamide",experimental,FALSE
Mapk14,MAPK14,DB07942,2-fluoro-4-[4-(4-fluorophenyl)-1H-pyrazol-3-yl]pyridine,experimental,FALSE
Mapk14,MAPK14,DB07943,2-{4-[5-(4-chlorophenyl)-4-pyrimidin-4-yl-1H-pyrazol-3-yl]piperidin-1-yl}-2-oxoethanol,experimental,FALSE
Mapk14,MAPK14,DB08064,N-(3-TERT-BUTYL-1H-PYRAZOL-5-YL)-N'-{4-CHLORO-3-[(PYRIDIN-3-YLOXY)METHYL]PHENYL}UREA,experimental,FALSE
Mapk14,MAPK14,DB08068,N-[4-CHLORO-3-(PYRIDIN-3-YLOXYMETHYL)-PHENYL]-3-FLUORO-,experimental,FALSE
Mapk14,MAPK14,DB08091,3-FLUORO-5-MORPHOLIN-4-YL-N-[3-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-5-YL]BENZAMIDE,experimental,FALSE
Mapk14,MAPK14,DB08092,3-fluoro-N-1H-indol-5-yl-5-morpholin-4-ylbenzamide,experimental,FALSE
Mapk14,MAPK14,DB08093,3-(1-NAPHTHYLMETHOXY)PYRIDIN-2-AMINE,experimental,FALSE
Mapk14,MAPK14,DB08095,"3-(2-CHLOROPHENYL)-1-(2-{[(1S)-2-HYDROXY-1,2-DIMETHYLPROPYL]AMINO}PYRIMIDIN-4-YL)-1-(4-METHOXYPHENYL)UREA",experimental,FALSE
Mapk14,MAPK14,DB08096,"8-(2-CHLOROPHENYLAMINO)-2-(2,6-DIFLUOROPHENYLAMINO)-9-ETHYL-9H-PURINE-1,7-DIIUM",experimental,FALSE
Mapk14,MAPK14,DB08097,"2-(2,6-DIFLUOROPHENOXY)-N-(2-FLUOROPHENYL)-9-ISOPROPYL-9H-PURIN-8-AMINE",experimental,FALSE
Mapk14,MAPK14,DB08242,"N,4-dimethyl-3-[(1-phenyl-1H-pyrazolo[3,4-d]pyrimidin-4-yl)amino]benzamide",experimental,FALSE
Mapk14,MAPK14,DB08349,"N-cyclopropyl-3-{[1-(2,4-difluorophenyl)-7-methyl-6-oxo-6,7-dihydro-1H-pyrazolo[3,4-b]pyridin-4-yl]amino}-4-methylbenzamide",experimental,FALSE
Mapk14,MAPK14,DB08351,N-cyclopropyl-4-methyl-3-{2-[(2-morpholin-4-ylethyl)amino]quinazolin-6-yl}benzamide,experimental,FALSE
Mapk14,MAPK14,DB08352,"6-[4-(2-fluorophenyl)-1,3-oxazol-5-yl]-N-(1-methylethyl)-1,3-benzothiazol-2-amine",experimental,FALSE
Mapk14,MAPK14,DB08395,2-(ETHOXYMETHYL)-4-(4-FLUOROPHENYL)-3-[2-(2-HYDROXYPHENOXY)PYRIMIDIN-4-YL]ISOXAZOL-5(2H)-ONE,experimental,FALSE
Mapk14,MAPK14,DB08423,[5-AMINO-1-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL][3-(PIPERIDIN-4-YLOXY)PHENYL]METHANONE,experimental,FALSE
Mapk14,MAPK14,DB08424,"[5-AMINO-1-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL](3-{[(2R)-2,3-DIHYDROXYPROPYL]OXY}PHENYL)METHANONE",experimental,FALSE
Mapk14,MAPK14,DB08521,4-[5-(4-FLUORO-PHENYL)-2-(4-METHANESULFINYL-PHENYL)-3H-IMIDAZOL-4-YL]-PYRIDINE,experimental,FALSE
Mapk14,MAPK14,DB08522,4-(4-FLUOROPHENYL)-1-CYCLOROPROPYLMETHYL-5-(4-PYRIDYL)-IMIDAZOLE,experimental,FALSE
Mapk14,MAPK14,DB08730,3-FLUORO-5-MORPHOLIN-4-YL-N-[1-(2-PYRIDIN-4-YLETHYL)-1H-INDOL-6-YL]BENZAMIDE,experimental,FALSE
Ncoa2,NCOA2,DB01645,Genistein,investigational,TRUE
Ncoa2,NCOA2,DB02998,Methyltrienolone,experimental,FALSE
Ncoa2,NCOA2,DB06871,17-METHYL-17-ALPHA-DIHYDROEQUILENIN,experimental,FALSE
Ncoa2,NCOA2,DB06898,"4-(2-amino-1-methyl-1H-imidazo[4,5-b]pyridin-6-yl)phenol",experimental,FALSE
Ncoa2,NCOA2,DB07080,"N-(2,2,2-TRIFLUOROETHYL)-N-{4-[2,2,2-TRIFLUORO-1-HYDROXY-1-(TRIFLUOROMETHYL)ETHYL]PHENYL}BENZENESULFONAMIDE",experimental,FALSE
Ncoa2,NCOA2,DB07086,"4-[(1S,2S,5S)-5-(HYDROXYMETHYL)-8-METHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL",experimental,FALSE
Ncoa2,NCOA2,DB07087,"4-[(1S,2S,5S,9R)-5-(HYDROXYMETHYL)-8,9-DIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL",experimental,FALSE
Ncoa2,NCOA2,DB07195,"4-[(1S,2S,5S)-5-(HYDROXYMETHYL)-6,8,9-TRIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL",experimental,FALSE
Ncoa2,NCOA2,DB07678,"(9ALPHA,13BETA,17BETA)-2-[(1Z)-BUT-1-EN-1-YL]ESTRA-1,3,5(10)-TRIENE-3,17-DIOL",experimental,FALSE
Ncoa2,NCOA2,DB07707,"(9BETA,11ALPHA,13ALPHA,14BETA,17ALPHA)-11-(METHOXYMETHYL)ESTRA-1(10),2,4-TRIENE-3,17-DIOL",experimental,FALSE
Ncoa2,NCOA2,DB07708,3-CHLORO-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL,experimental,FALSE
Ncoa2,NCOA2,DB07712,3-ETHYL-2-(4-HYDROXYPHENYL)-2H-INDAZOL-5-OL,experimental,FALSE
Ncoa2,NCOA2,DB07863,2-chloro-5-nitro-N-phenylbenzamide,experimental,FALSE
Ncoa2,NCOA2,DB07932,"dimethyl (1R,4S)-5,6-bis(4-hydroxyphenyl)-7-oxabicyclo[2.2.1]hepta-2,5-diene-2,3-dicarboxylate",experimental,FALSE
Ncoa2,NCOA2,DB08047,"4-[1-allyl-7-(trifluoromethyl)-1H-indazol-3-yl]benzene-1,3-diol",experimental,FALSE
Ncoa2,NCOA2,DB08048,"4-(6-HYDROXY-1H-INDAZOL-3-YL)BENZENE-1,3-DIOL",experimental,FALSE
Ncoa2,NCOA2,DB08175,"(2E,4E)-11-METHOXY-3,7,11-TRIMETHYLDODECA-2,4-DIENOIC ACID",experimental,FALSE
Ncoa2,NCOA2,DB08320,"DIETHYL (1R,2S,3R,4S)-5,6-BIS(4-HYDROXYPHENYL)-7-OXABICYCLO[2.2.1]HEPT-5-ENE-2,3-DICARBOXYLATE",experimental,FALSE
Ncoa2,NCOA2,DB08398,"2-AMINO-1-METHYL-6-PHENYLIMIDAZO[4,5-B]PYRIDINE",experimental,FALSE
Ncoa2,NCOA2,DB08402,"2-[(2,4-DICHLOROBENZOYL)AMINO]-5-(PYRIMIDIN-2-YLOXY)BENZOIC ACID",experimental,FALSE
Ncoa2,NCOA2,DB08595,"4-[(1S,2R,5S)-4,4,8-TRIMETHYL-3-OXABICYCLO[3.3.1]NON-7-EN-2-YL]PHENOL",experimental,FALSE
Ncoa2,NCOA2,DB08601,tributylstannanyl,experimental,FALSE
Ncoa2,NCOA2,DB08773,RALOXIFENE CORE,experimental,FALSE
Nr1i2,NR1I2,DB00163,Vitamin E,approved|nutraceutical|vet_approved,TRUE
Nr1i2,NR1I2,DB00530,Erlotinib,approved|investigational,FALSE
Nr1i2,NR1I2,DB00783,Estradiol,approved|investigational|vet_approved,TRUE
Nr1i2,NR1I2,DB00977,Ethinyl Estradiol,approved,FALSE
Nr1i2,NR1I2,DB01045,Rifampicin,approved,TRUE
Nr1i2,NR1I2,DB01220,Rifaximin,approved|investigational,FALSE
Nr1i2,NR1I2,DB01229,Paclitaxel,approved|vet_approved,FALSE
Nr1i2,NR1I2,DB01248,Docetaxel,approved|investigational,FALSE
Nr1i2,NR1I2,DB01708,Prasterone,approved|nutraceutical,FALSE
Nr1i2,NR1I2,DB01892,Hyperforin,nutraceutical,FALSE
Nr1i2,NR1I2,DB04466,SR12813,experimental,FALSE
Nr1i2,NR1I2,DB07080,"N-(2,2,2-TRIFLUOROETHYL)-N-{4-[2,2,2-TRIFLUORO-1-HYDROXY-1-(TRIFLUOROMETHYL)ETHYL]PHENYL}BENZENESULFONAMIDE",experimental,FALSE
Nr1i2,NR1I2,DB08864,Rilpivirine,approved,FALSE
Txnrd1,TXNRD1,DB01169,Arsenic trioxide,approved|investigational,FALSE
Txnrd1,TXNRD1,DB02338,Nadph Dihydro-Nicotinamide-Adenine-Dinucleotidephosphate,experimental,FALSE
Txnrd1,TXNRD1,DB03147,Flavin adenine dinucleotide,approved,FALSE
Txnrd1,TXNRD1,DB03566,Spermidine,experimental,TRUE
Txnrd1,TXNRD1,DB04106,Fotemustine,experimental,FALSE
Txnrd1,TXNRD1,DB05428,motexafin gadolinium,investigational,FALSE
Txnrd1,TXNRD1,DB05448,PX-12,investigational,FALSE
