drug.name,k,l,m,n,OR,pvalue,adj.pvalue
Phenethyl Isothiocyanate,126,548,550,4875,2.03770248878846,3.29103151250904E-10,7.90377176160188E-8
Sorafenib,197,1011,479,4412,1.7945231283744,3.95713826388478E-10,9.36374255356521E-8
Tadalafil,37,76,639,5347,4.07267165132007,4.12715636956252E-10,9.62451792000675E-8
Acetylsalicylic acid,258,1441,418,3982,1.70539718400503,4.38495015841034E-10,1.00796110456337E-7
SB220025,61,185,615,5238,2.80766529667099,4.60963204952277E-10,1.0446842909993E-7
Cediranib,46,115,630,5308,3.3692652555201,5.31000408777566E-10,1.18669609007835E-7
Kaempherol,159,762,517,4661,1.88101941789556,5.46405873443014E-10,1.20439696204744E-7
Mannitol,67,217,609,5206,2.63880021350428,6.12823087210376E-10,1.33254091004774E-7
(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE,63,197,613,5226,2.72573479417626,6.51256881104081E-10,1.39723100472398E-7
Clodronic Acid,38,82,638,5341,3.87769020539637,7.11975976991779E-10,1.47751124805529E-7
Staurosporine,197,1019,479,4404,1.7772219967409,7.24609512602456E-10,1.47751124805529E-7
Midostaurin,37,78,639,5345,3.96686985217555,7.24706454235243E-10,1.47751124805529E-7
Andrographolide,142,656,534,4767,1.93214842449611,7.254053171562E-10,1.47751124805529E-7
Amsacrine,56,164,620,5259,2.89567191838965,8.70914427720775E-10,1.75171178058697E-7
Acadesine,36,75,640,5348,4.00997636270161,9.64784951651406E-10,1.84811242697838E-7
6-BENZYL-1-BENZYLOXYMETHYL-5-ISOPROPYL URACIL,36,75,640,5348,4.00997636270161,9.64784951651406E-10,1.84811242697838E-7
Ipatasertib,36,75,640,5348,4.00997636270161,9.64784951651406E-10,1.84811242697838E-7
GSK-690693,36,75,640,5348,4.00997636270161,9.64784951651406E-10,1.84811242697838E-7
CEP-1347,66,216,610,5207,2.60767789716843,1.18868506294721E-9,2.25022026817514E-7
Flurbiprofen,81,298,595,5125,2.34078919756462,1.50913907375142E-9,2.82363115417141E-7
Miltefosine,36,77,640,5346,3.9035413050853,1.67842635797862E-9,3.10427502540182E-7
Toluene,42,103,634,5320,3.42058802493255,1.94563616085446E-9,3.55759175249251E-7
Vitamin A,85,323,591,5100,2.27039768243543,2.13521646791163E-9,3.86037110389243E-7
Guanosine,64,211,612,5212,2.58260298303844,2.75845572899878E-9,4.93174554918781E-7
Semaxanib,93,371,583,5052,2.1718674100946,2.82544722667064E-9,4.99600610233429E-7
Cyanamide,33,67,643,5356,4.10155030328238,2.97214614204272E-9,5.1423823447469E-7
SGI-1776,33,67,643,5356,4.10155030328238,2.97214614204272E-9,5.1423823447469E-7
Momelotinib,46,123,630,5300,3.14519025989325,3.01546470159869E-9,5.1618282241364E-7
Methotrexate,51,147,625,5276,2.92799427841998,3.30358665336232E-9,5.56207214439361E-7
Sorbitol,63,207,613,5216,2.58913136528217,3.31841500337666E-9,5.56207214439361E-7
Phosphonotyrosine,40,97,636,5326,3.45220885733815,3.69807974720508E-9,6.09432863630841E-7
Metformin,272,1577,404,3846,1.64183004403259,3.71171646182374E-9,6.09432863630841E-7
Bicalutamide,95,386,581,5037,2.13335840858466,4.15538200687912E-9,6.75387335620821E-7
Tofacitinib,64,214,612,5209,2.54494351310709,4.38654470501254E-9,7.05829348212884E-7
Panobinostat,103,434,573,4989,2.06605873366814,4.48815933974536E-9,7.15029641211247E-7
Androstenedione,80,301,596,5122,2.28381742312227,4.60289666875726E-9,7.26119677617627E-7
Bortezomib,257,1472,419,3951,1.64618976178204,5.02977313059586E-9,7.79767351283694E-7
Fenofibrate,142,678,534,4745,1.86087902569649,5.06003815517492E-9,7.79767351283694E-7
AICA ribonucleotide,39,94,637,5329,3.46982013533394,5.08835254910322E-9,7.79767351283694E-7
Amifostine,60,195,616,5228,2.61082081807838,5.7449841718211E-9,8.72087624680427E-7
Nicotine,289,1711,387,3712,1.6200103402338,5.8786726877622E-9,8.7503258164148E-7
Amphotericin B,37,86,639,5337,3.59218015548837,5.88979338683992E-9,8.7503258164148E-7
Estrone sulfate,47,131,629,5292,3.01767648273389,5.92752739270508E-9,8.7503258164148E-7
Losmapimod,36,82,640,5341,3.66257631871162,6.24602243798066E-9,9.13667143253937E-7
Cordycepin,76,282,600,5141,2.30877442469417,7.01724194319031E-9,1.01723343002295E-6
"2-(1,1-DIMETHYLETHYL)9-FLUORO-3,6-DIHYDRO-7H-BENZ[H]-IMIDAZ[4,5-F]ISOQUINOLIN-7-ONE",25,40,651,5383,5.16564574180421,7.40330395722223E-9,1.06361562910634E-6
Neflamapimod,39,96,637,5327,3.39634894691142,8.11903184231802E-9,1.15612010503907E-6
Dilmapimod,35,79,641,5344,3.69235527362286,8.47786429929601E-9,1.19662690112963E-6
Propofol,153,758,523,4665,1.80012827223279,1.00355985167689E-8,1.40417937844512E-6
Mitotane,76,285,600,5138,2.28328841620329,1.03461778568364E-8,1.43515597407663E-6
4-PHENOXY-N-(PYRIDIN-2-YLMETHYL)BENZAMIDE,35,80,641,5343,3.64553512972533,1.09302139492497E-8,1.50321102964064E-6
Lycopene,81,315,595,5108,2.20728229842693,1.30189366138477E-8,1.77529552234395E-6
Silibinin A,86,344,590,5079,2.15177347643802,1.35245758189896E-8,1.82874791499836E-6
AEE-788,67,238,609,5185,2.39625910910248,1.42382759974841E-8,1.90920829924432E-6
"2,6-Dihydroanthra/1,9-Cd/Pyrazol-6-One",188,999,488,4424,1.70585825851541,1.46736161881786E-8,1.95132198378023E-6
AZD-1480,41,108,635,5315,3.17645555454748,1.58922513024475E-8,2.08463820682635E-6
"2',4,4'-Trihydroxychalcone",57,186,619,5237,2.5921501959135,1.59352415916735E-8,2.08463820682635E-6
WP 1066,44,122,632,5301,3.02419438422583,1.62616370421745E-8,2.11018110884901E-6
Bleomycin,153,767,523,4656,1.77560059537991,2.02914629247409E-8,2.61204405993439E-6
2-deoxyglucose,35,83,641,5340,3.51184231164575,2.29075847239786E-8,2.92540439041049E-6
2-Chlorophenol,34,79,642,5344,3.58131075888983,2.45212732242275E-8,3.0586547531264E-6
4-[3-(4-FLUOROPHENYL)-1H-PYRAZOL-4-YL]PYRIDINE,34,79,642,5344,3.58131075888983,2.45212732242275E-8,3.0586547531264E-6
3-(1-NAPHTHYLMETHOXY)PYRIDIN-2-AMINE,34,79,642,5344,3.58131075888983,2.45212732242275E-8,3.0586547531264E-6
Camptothecin,106,469,570,4954,1.96408483491532,2.48029044322023E-8,3.06998561185086E-6
3-(Benzyloxy)Pyridin-2-Amine,34,80,642,5343,3.53589853943374,3.13397220173236E-8,3.82030785328586E-6
Lpc-Ether,34,80,642,5343,3.53589853943374,3.13397220173236E-8,3.82030785328586E-6
Lupeol,67,244,609,5179,2.33470046642976,3.23396423991773E-8,3.91255742533934E-6
Tivozanib,25,45,651,5378,4.58777631265917,4.26244782400377E-8,5.1183670862176E-6
PICEATANNOL,60,209,616,5214,2.42933992301978,4.77342588804679E-8,5.68949300878026E-6
Olomoucine,63,226,613,5197,2.36285649988149,5.39624927360129E-8,6.38454933632526E-6
Pirfenidone,56,189,620,5234,2.50083380887923,5.63709929470044E-8,6.62082745776535E-6
Rotenone,153,782,523,4641,1.73597684299121,6.29054533790359E-8,7.334767683843E-6
Talmapimod,34,83,642,5340,3.40627728203108,6.40138468187697E-8,7.41030832834448E-6
TNP-470,58,201,618,5222,2.43764181629875,6.98249816615146E-8,8.02527544203294E-6
Capsaicin,223,1270,453,4153,1.6096360264366,7.20723873046627E-8,8.22483032820478E-6
Artemisinin,37,97,639,5326,3.17821485463984,7.35123915692389E-8,8.33008359898535E-6
Disulfiram,74,290,602,5133,2.17538980119914,7.72270637715655E-8,8.68981714592996E-6
Rbt205 Inhibitor,129,627,547,4796,1.8036085728803,7.81784723411958E-8,8.73578305421404E-6
Vorinostat,190,1038,486,4385,1.6513883026891,7.90418158995418E-8,8.77134229546512E-6
Lonidamine,57,197,619,5226,2.44216469861891,8.43712374295614E-8,9.29862461068008E-6
Gossypol,51,166,625,5257,2.58360728153203,8.83011152721412E-8,9.66553742194284E-6
Indomethacin,199,1103,477,4320,1.63381802237777,8.963618072516E-8,9.74538005580271E-6
Indirubin,47,146,629,5277,2.70011392955213,9.19311595484605E-8,9.92781377399022E-6
Patupilone,32,76,644,5347,3.49480605213294,9.51378759215676E-8,1.02056188439683E-5
Selenic acid,38,103,638,5320,3.07543874309734,9.8659947190154E-8,1.05133490580065E-5
Oxalic Acid,34,85,642,5338,3.32511306786542,1.01270583936548E-7,1.07148032240536E-5
Budesonide,56,193,620,5230,2.44695546499415,1.01882238396707E-7,1.07148032240536E-5
Azithromycin,25,48,651,5375,4.29888764466617,1.1069493214563E-7,1.15660261539507E-5
Glycerin,69,265,607,5158,2.21229059060946,1.15192751075937E-7,1.19583319473369E-5
Triptolide,206,1157,470,4266,1.61591570717657,1.18798194155324E-7,1.22535631451156E-5
Pazopanib,60,216,616,5207,2.34757830845417,1.26955672586462E-7,1.29472437817175E-5
Estrone,48,153,628,5270,2.63211401534635,1.27592807151901E-7,1.29472437817175E-5
Bupropion,54,184,622,5239,2.47156155963726,1.27937334201823E-7,1.29472437817175E-5
Decitabine,223,1280,453,4143,1.5932184458317,1.30120762424196E-7,1.30859051809452E-5
Iloprost,93,407,583,5016,1.96572937518372,1.3353561647407E-7,1.3345916156622E-5
Cupric sulfate,79,324,597,5099,2.08222351261037,1.39181979217918E-7,1.38243635403015E-5
Selumetinib,24,45,652,5378,4.39767004757738,1.4228530732203E-7,1.40459010410806E-5
Hydralazine,70,274,606,5149,2.17033351197438,1.72562376573459E-7,1.50707097785882E-5
RU83876,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU79256,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU78783,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU82197,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU82209,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
"{4-[2-Acetylamino-2-(3-Carbamoyl-2-Cyclohexylmethoxy-6,7,8,9-Tetrahydro-5h-Benzocyclohepten-5ylcarbamoyl)-Ethyl]-2-Phosphono-Phenyl}-Phosphonic Acid",33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU81843,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU78191,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
Phenylphosphate,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU78299,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU78262,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
PASBN,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU82129,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU85053,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU85493,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
DPI59,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU84687,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
ISO24,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU79073,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU78300,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU90395,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
PAS219,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
RU79072,33,83,643,5340,3.30123406174736,1.75145168148211E-7,1.50707097785882E-5
Dinoprostone,185,1016,491,4407,1.63418040909663,1.79929893181829E-7,1.53743209493353E-5
Dipyridamole,45,140,631,5283,2.69052299745411,1.80584551425616E-7,1.53743209493353E-5
Deferoxamine,114,541,562,4882,1.83036517870865,1.81876727903518E-7,1.54028357342444E-5
VX-702,14,13,662,5410,8.79336294390148,1.87277886258666E-7,1.57772128347733E-5
S-Hexylglutathione,24,46,652,5377,4.30135767926915,1.94282261625682E-7,1.62820496296939E-5
ZSTK-474,18,25,658,5398,5.90356052367747,2.13240345234906E-7,1.77782586550823E-5
Enoxolone,35,93,641,5330,3.12835650620642,2.16608189238536E-7,1.79659544550893E-5
1-(5-Tert-Butyl-2-P-Tolyl-2h-Pyrazol-3-Yl)-3-[4-(2-Morpholin-4-Yl-Ethoxy)-Naphthalen-1-Yl]-Urea,15,16,661,5407,7.66365920927395,2.20386431963961E-7,1.81855899719573E-5
Clofibrate,50,167,626,5256,2.51330093143796,2.30128470609594E-7,1.88925870670735E-5
Zinc,186,1028,490,4395,1.62272032828293,2.46619745116817E-7,2.01436780154588E-5
Epigallocatechin Gallate,332,2110,344,3313,1.51521468736276,2.52734633462241E-7,2.05388783065659E-5
"4,4'-PROPANE-2,2-DIYLDIPHENOL",125,616,551,4807,1.77006704436989,2.5700174046569E-7,2.07806984597807E-5
Estradiol,354,2284,322,3139,1.51078657474567,2.74509500560575E-7,2.20853627272404E-5
Ursodeoxycholic acid,137,696,539,4727,1.72607930623031,2.82729491323165E-7,2.26335254990052E-5
7-Hydroxystaurosporine,80,337,596,5086,2.02548797991885,2.98841024616871E-7,2.38048801786888E-5
Folic Acid,82,349,594,5074,2.0067528888976,3.02546856906838E-7,2.39813573192318E-5
Sirolimus,292,1809,384,3614,1.51909378600491,3.46900888499451E-7,2.73622872127714E-5
Cerivastatin,242,1437,434,3986,1.54658123616428,3.74178676344858E-7,2.93698903929683E-5
Ethinyl Estradiol,99,455,577,4968,1.873229164097,3.77905114786043E-7,2.95106866107332E-5
Triciribine,63,241,613,5182,2.20949574832216,3.79640474134727E-7,2.95106866107332E-5
Acetaminophen,122,602,554,4821,1.76331748066096,3.94806634628883E-7,3.05420553439372E-5
Thalidomide,146,761,530,4662,1.68741290742027,4.03305250027585E-7,3.1050224304716E-5
Rutin,62,236,614,5187,2.21911462566817,4.0868848880013E-7,3.13148447691559E-5
Medroxyprogesterone acetate,116,564,560,4859,1.78431026016141,4.20904589878288E-7,3.20093790299682E-5
Levofloxacin,28,65,648,5358,3.56066928295792,4.21731419349923E-7,3.20093790299682E-5
Benzylpenicillin,25,53,651,5370,3.8891921244082,4.7350998668409E-7,3.57706384808864E-5
Iron,130,657,546,4766,1.72699710871041,4.82784499427692E-7,3.6300841867519E-5
Chloroquine,164,887,512,4536,1.63788375660185,5.13623423031534E-7,3.84400118984101E-5
"(3BETA)-CHOLEST-5-ENE-3,25-DIOL",62,238,614,5185,2.19948981825133,5.23112719831373E-7,3.896894798526E-5
Zidovudine,66,261,610,5162,2.13954776871976,5.46122681730492E-7,4.04955808609237E-5
Palmitic Acid,220,1284,456,4139,1.55508442974833,5.5914757086633E-7,4.12712004550048E-5
Zinc oxide,65,256,611,5167,2.1468443725556,5.92720013548841E-7,4.35494454677497E-5
Alectinib,22,42,654,5381,4.30841830891924,5.98429811368665E-7,4.37691075896911E-5
Hydroquinone,66,262,610,5161,2.13097126733086,6.13434759879877E-7,4.4663552153697E-5
Mitomycin,112,544,564,4879,1.78075918018733,6.66153225964707E-7,4.82834521351033E-5
Busulfan,67,269,609,5154,2.10757062369727,7.09170355378514E-7,5.11708772556354E-5
Isatoribine,29,72,647,5351,3.33041480451557,7.95103811880702E-7,5.7115366731184E-5
Midazolam,41,129,635,5294,2.6491533568368,8.20059004630999E-7,5.86461809576079E-5
Latrepirdine,17,25,659,5398,5.56726278065464,8.29063369589114E-7,5.8767744447327E-5
Sapanisertib,17,25,659,5398,5.56726278065464,8.29063369589114E-7,5.8767744447327E-5
nocodazole,172,952,504,4471,1.6026084884255,9.41291894367714E-7,6.64303628160937E-5
AZD-8055,18,29,658,5394,5.08585957188236,1.04167069279748E-6,7.3193432709648E-5
Etodolac,70,290,606,5133,2.04426086942278,1.05432237188839E-6,7.37603108755931E-5
Butyric Acid,269,1658,407,3765,1.50077082754818,1.07095109732822E-6,7.4599310382187E-5
Bexarotene,89,405,587,5018,1.87840371463959,1.11454173616179E-6,7.7301069686977E-5
Fluorouracil,178,997,498,4426,1.58660823332008,1.13273851101366E-6,7.82259592515767E-5
Tipifarnib,25,57,651,5366,3.61402878857662,1.35909533183661E-6,9.34568665643609E-5
Cholecalciferol,132,686,544,4737,1.67537257742458,1.49305640034856E-6,1.02138337374971E-4
Alendronic acid,74,317,602,5106,1.97971053409007,1.49804077506248E-6,1.02138337374971E-4
Clioquinol,29,75,647,5348,3.19502181381861,1.54796992548616E-6,1.05097243452042E-4
Brequinar,39,123,637,5300,2.63754050870635,1.60342997282414E-6,1.08405219464661E-4
Nitroglycerin,76,330,600,5093,1.95465690739229,1.66074822736707E-6,1.11810618302058E-4
Permethrin,35,104,641,5319,2.7919178192585,1.83273736011346E-6,1.22875739270752E-4
Hexachlorophene,38,119,638,5304,2.65412774972326,1.89781849246623E-6,1.26711135857004E-4
Histamine,177,999,499,4424,1.57067524977568,1.92605713672693E-6,1.28065147156428E-4
Mevastatin,72,309,604,5114,1.97262152910513,2.22650941337477E-6,1.47433241618173E-4
Guanine,82,370,594,5053,1.88510591454053,2.33153067603921E-6,1.53754721155134E-4
Losartan,150,815,526,4608,1.61220844296862,2.39043561609323E-6,1.56995830670218E-4
4-(2-Aminoethyl)Benzenesulfonyl Fluoride,50,184,626,5239,2.2737517447528,2.54661049611675E-6,1.66572985654761E-4
Glycochenodeoxycholic Acid,50,185,626,5238,2.26106133955446,2.90126948623255E-6,1.89002813703413E-4
Acetylcysteine,169,950,507,4473,1.56934345557565,2.91990037724721E-6,1.89099524259183E-4
Sulfanilamide,41,137,635,5286,2.49083523285009,2.92625811353657E-6,1.89099524259183E-4
Desogestrel,24,56,652,5367,3.52669329418986,3.04192804164703E-6,1.95788004576151E-4
Teriflunomide,36,112,640,5311,2.66675088736601,3.13424675000756E-6,2.00926220557103E-4
Butyl alcohol,76,338,600,5085,1.9054334163984,3.59219197843091E-6,2.29369754854583E-4
Hydrogen peroxide,373,2492,303,2931,1.44777879904084,3.6124073060599E-6,2.29748848436349E-4
Alvocidib,184,1060,492,4363,1.53921059493252,3.69292384272983E-6,2.33945010621049E-4
Albendazole,55,215,621,5208,2.14502974671851,3.78709755877593E-6,2.38970044854587E-4
Lovastatin,221,1328,455,4095,1.49763387708221,3.8872745011415E-6,2.44333151501657E-4
Entinostat,109,548,567,4875,1.7099849435436,4.04218336304049E-6,2.5279921036103E-4
Pasireotide,28,75,648,5348,3.08022361005508,4.05338883167218E-6,2.5279921036103E-4
Formaldehyde,130,688,546,4735,1.63848041218976,4.24617656566267E-6,2.63754287502469E-4
Dichloroacetic Acid,48,177,628,5246,2.26495034352983,4.26182608886126E-6,2.63754287502469E-4
Icaritin,29,80,647,5343,2.99273300879173,4.37114728765963E-6,2.69483441894477E-4
Resatorvid,20,41,656,5382,4.00109239757671,4.50647712759702E-6,2.76766188146489E-4
2-(4-(2-HYDROXY-3-(ISOPROPYLAMINO)PROPOXY)PHENYL)ETHANAMIDE,48,178,628,5245,2.25179488076301,4.85288497831718E-6,2.96907659780738E-4
Ouabain,121,630,555,4793,1.65850591999934,4.94888558492837E-6,3.01634240001622E-4
"(9S,10E,12Z)-9-hydroxyoctadeca-10,12-dienoic acid",28,76,648,5347,3.03916136985188,4.97643790237228E-6,3.02168972435918E-4
Galunisertib,17,30,659,5393,4.63558411364189,5.22232740190727E-6,3.15907263316016E-4
"(1S,6BR,9AS,11R,11BR)-9A,11B-DIMETHYL-1-[(METHYLOXY)METHYL]-3,6,9-TRIOXO-1,6,6B,7,8,9,9A,10,11,11B-DECAHYDRO-3H-FURO[4,3,2-DE]INDENO[4,5-H][2]BENZOPYRAN-11-YL ACETATE",203,1203,473,4220,1.50539320715468,5.27537809155631E-6,3.17921195232401E-4
Creatine,29,81,647,5342,2.95525593331564,5.32549622652802E-6,3.19744026544276E-4
5-phenyl-1H-indazol-3-amine,30,86,646,5337,2.88124316677271,5.60954269226929E-6,3.34303440324071E-4
Fedratinib,30,86,646,5337,2.88124316677271,5.60954269226929E-6,3.34303440324071E-4
Ethanol,351,2328,325,3095,1.43571372211244,5.75804178795791E-6,3.41887068160648E-4
P-Cresol,42,147,634,5276,2.37715886308589,5.87762143404601E-6,3.47704137848935E-4
"(9Z,11E,13S)-13-hydroxyoctadeca-9,11-dienoic acid",28,77,648,5346,2.9991602064528,6.08839594452315E-6,3.58853671083045E-4
Calcitriol,311,2019,365,3404,1.4364141858965,6.86916787989934E-6,4.03395194351052E-4
Daporinad,46,170,630,5253,2.25578809678185,7.12367890560202E-6,4.1682023526281E-4
