drug.name,Genes,PPI,GO_BP,GO_CC,GO_MF,KEGG,Reactome,score
Morphine,177,419,64,25,74,194,32,140.714285714285
Bexarotene,14,232,162,138,41,214,219,145.714285714285
Andrographolide,473,79,72,114,79,66,144,146.714285714285
Chloroquine,106,215,107,62,86,166,297,148.428571428571
Losartan,158,245,83,121,128,68,259,151.714285714285
Triptolide,460,156,77,73,26,142,133,152.428571428571
Nitric Oxide,278,375,47,47,51,254,39,155.857142857142
Myricetin,273,29,119,209,268,145,65,158.285714285714
Fenretinide,284,294,34,164,116,55,175,160.285714285714
nocodazole,526,228,156,35,91,38,49,160.428571428571
K-252a,67,20,179,116,572,40,139,161.857142857142
Gentamicin,159,40,255,160,220,27,276,162.428571428571
Lycopene,35,118,117,140,333,141,253,162.428571428571
7-ethyl-10-hydroxycamptothecin,213,51,280,195,101,201,109,164.285714285714
Medroxyprogesterone acetate,89,211,65,119,125,234,325,166.857142857142
Entinostat,148,257,231,166,97,236,78,173.285714285714
Aminacrine,184,32,372,423,90,1,118,174.285714285714
Tocotrienol,132,63,185,595,158,43,56,176
Prasterone,272,303,147,177,129,105,107,177.142857142857
Progesterone,228,767,16,3,10,206,45,182.142857142857
Diazoxide,218,306,212,120,131,56,246,184.142857142857
Flurbiprofen,229,86,171,191,326,94,194,184.428571428571
Pioglitazone,212,519,35,88,61,266,117,185.428571428571
Anisomycin,77,327,78,349,110,42,321,186.285714285714
Equol,279,56,203,343,272,80,74,186.714285714285
Pazopanib,64,157,223,154,174,260,276,186.857142857142
Colforsin,639,293,50,30,66,215,22,187.857142857142
"N~2~,N~2~-DIMETHYL-N~1~-(6-OXO-5,6-DIHYDROPHENANTHRIDIN-2-YL)GLYCINAMIDE",43,59,232,364,118,216,306,191.142857142857
AZD-5363,218,34,151,799,109,25,11,192.428571428571
Zoledronic acid,275,699,63,50,68,68,133,193.714285714285
Raloxifene,139,618,105,108,124,197,81,196
Indomethacin,695,148,39,23,50,312,119,198
Leukotriene D4,229,366,133,93,208,116,244,198.428571428571
Ouabain,526,264,89,140,123,108,152,200.285714285714
Glycerin,92,155,242,325,138,165,303,202.857142857142
Cholesterol,469,374,53,84,214,180,77,207.285714285714
Dinoprost,167,484,100,22,133,184,368,208.285714285714
AICA ribonucleotide,159,105,244,391,255,255,54,209
Norepinephrine,237,309,123,56,103,330,312,210
L-Alanine,235,782,108,52,83,140,72,210.285714285714
7-Hydroxystaurosporine,28,202,166,666,233,60,135,212.857142857142
Salicylic acid,470,16,196,164,165,315,165,213
Pirfenidone,461,137,160,135,162,289,151,213.571428571428
Potassium Chloride,279,341,144,160,311,59,201,213.571428571428
AEE-788,55,120,297,616,167,250,29,219.142857142857
N-(2-AMINOETHYL)-2-{3-CHLORO-4-[(4-ISOPROPYLBENZYL)OXY]PHENYL} ACETAMIDE,111,66,283,758,273,20,34,220.714285714285
L-Arginine,142,498,153,111,192,154,317,223.857142857142
Propranolol,76,527,169,57,177,309,261,225.142857142857
Cholecalciferol,531,235,102,24,117,291,287,226.714285714285
Cediranib,84,72,352,598,377,22,86,227.285714285714
Valproic Acid,37,494,114,180,108,435,225,227.571428571428
Doxazosin,286,391,127,285,316,106,85,228
Iron,666,214,101,162,185,146,132,229.428571428571
(2S)-1-(1H-INDOL-3-YL)-3-{[5-(3-METHYL-1H-INDAZOL-5-YL)PYRIDIN-3-YL]OXY}PROPAN-2-AMINE,111,75,390,750,157,1,128,230.285714285714
Fluconazole,73,36,265,797,323,96,41,233
Guanosine,218,90,249,254,683,83,88,237.857142857142
Rbt205 Inhibitor,499,144,121,273,342,159,127,237.857142857142
Bosutinib,519,35,134,145,319,191,323,238
Eflornithine,471,30,287,374,104,221,182,238.428571428571
Zinc,1094,197,70,129,28,148,4,238.571428571428
Vemurafenib,213,48,172,914,245,24,55,238.714285714285
"3,3'-diindolylmethane",631,33,260,265,136,138,213,239.428571428571
2-chloro-5-nitro-N-phenylbenzamide,108,470,137,93,262,539,95,243.428571428571
Dimethyl sulfoxide,288,365,122,209,247,218,256,243.571428571428
Saracatinib,984,23,164,172,235,28,106,244.571428571428
Dexamethasone,682,437,86,126,96,130,166,246.142857142857
Orantinib,132,549,192,243,139,307,176,248.285714285714
"2',4,4'-Trihydroxychalcone",474,123,239,492,162,51,205,249.428571428571
Adenosine,532,561,97,92,89,278,110,251.285714285714
"6-[4-(2-piperidin-1-ylethoxy)phenyl]-3-pyridin-4-ylpyrazolo[1,5-a]pyrimidine",14,364,159,225,353,347,298,251.428571428571
Dihydrogenphosphate Ion,656,62,175,290,399,87,102,253
Rutin,178,210,193,345,242,418,221,258.142857142857
Lupeol,59,133,628,154,64,204,567,258.428571428571
Tofacitinib,49,100,493,143,300,421,306,258.857142857142
Folic Acid,142,203,445,374,130,256,263,259
Tauroursodeoxycholic acid,151,55,135,1212,148,35,90,260.857142857142
Edaravone,80,331,355,261,258,257,285,261
Cilostazol,97,505,200,139,150,403,336,261.428571428571
Cupric sulfate,892,162,215,218,232,34,79,261.714285714285
Silibinin A,51,119,111,505,360,379,316,263
Niclosamide,107,381,224,218,257,296,372,265
Theophylline,232,421,238,333,243,212,179,265.428571428571
AZD-1480,59,122,569,117,400,325,280,267.428571428571
"9,10-Deepithio-9,10-Didehydroacanthifolicin",287,990,88,177,114,115,114,269.285714285714
HESPERIDIN,178,469,365,159,135,313,273,270.285714285714
Hydralazine,142,164,484,204,102,349,455,271.428571428571
Iloprost,661,161,187,86,482,91,255,274.714285714285
Vitamin A,526,89,230,87,244,523,224,274.714285714285
Lipoic Acid,184,57,261,872,455,43,92,280.571428571428
Nitroglycerin,493,239,228,214,149,436,228,283.857142857142
Buparlisib,84,15,344,1160,349,7,33,284.571428571428
Nilotinib,218,290,286,228,317,456,226,288.714285714285
Isoflavone,474,31,193,1087,175,4,75,291.285714285714
Ritonavir,273,388,361,203,169,351,317,294.571428571428
Tacrolimus,793,724,38,48,67,271,122,294.714285714285
Deferoxamine,631,190,205,207,140,251,479,300.428571428571
TNP-470,111,140,557,497,194,175,450,303.428571428571
Mitomycin,684,222,302,189,171,179,380,303.857142857142
Acetaminophen,833,208,132,289,307,90,275,304.857142857142
Arecoline,492,775,143,102,77,328,222,305.571428571428
"3-(4-HYDROXYPHENYL)-1-(2,4,6-TRIHYDROXYPHENYL)PROPAN-1-ONE",209,514,299,223,521,189,186,305.857142857142
Mesalazine,1019,298,195,106,183,135,215,307.285714285714
Mifepristone,284,805,96,207,299,310,153,307.714285714285
Apitolisib,184,24,225,919,696,7,113,309.714285714285
Phenylbutyric acid,46,791,388,239,222,394,95,310.714285714285
Ethinyl Estradiol,904,206,130,429,120,160,236,312.142857142857
Propanoic Acid,519,688,246,274,290,29,142,312.571428571428
Triciribine,168,207,211,619,791,26,173,313.571428571428
Phosphonotyrosine,534,97,245,267,265,497,291,313.714285714285
Oxygen,832,847,46,61,80,173,159,314
Semapimod,184,65,294,750,209,185,517,314.857142857142
Alitretinoin,496,464,154,66,292,378,367,316.714285714285
Butyl alcohol,461,252,501,190,250,239,337,318.571428571428
Quinacrine,496,445,363,644,119,79,94,320
Alendronic acid,892,236,222,182,344,302,83,323
Plicamycin,656,779,216,183,65,183,187,324.142857142857
Azacitidine,183,510,201,767,81,243,288,324.714285714285
Buthionine Sulfoximine,148,509,115,565,106,340,493,325.142857142857
Etodolac,892,230,217,290,338,100,211,325.428571428571
Phenylephrine,229,973,125,98,234,125,504,326.857142857142
Hydroquinone,1054,221,161,196,386,80,228,332.285714285714
SB220025,111,71,401,472,922,101,262,334.285714285714
Candesartan,213,586,98,260,389,305,491,334.571428571428
Belinostat,168,280,357,1303,94,11,131,334.857142857142
Amsacrine,168,80,701,745,141,192,322,335.571428571428
Carbamazepine,660,630,120,78,166,472,249,339.285714285714
Acitretin,631,315,385,168,372,288,240,342.714285714285
Desipramine,110,648,168,324,667,156,338,344.428571428571
Mannitol,1147,74,128,188,408,284,193,346
Hypericin,502,333,477,308,289,428,98,347.857142857142
BMS-599626,111,433,516,598,302,334,167,351.571428571428
Merimepodib,111,433,516,598,302,334,167,351.571428571428
Mubritinib,111,433,516,598,302,334,167,351.571428571428
Neratinib,111,433,516,598,302,334,167,351.571428571428
Lenalidomide,684,49,116,1158,270,31,174,354.571428571428
Nandrolone,73,1154,284,70,275,332,299,355.285714285714
Pravastatin,89,1069,155,91,403,346,339,356
Haloperidol,1094,507,145,82,248,197,223,356.571428571428
Ursodeoxycholic acid,962,201,234,105,187,286,528,357.571428571428
Arachidonic Acid,1053,552,90,77,78,468,195,359
Formoterol,810,598,236,246,266,76,281,359
"N-Butyl-11-[(7r,8r,9s,13s,14s,17s)-3,17-Dihydroxy-13-Methyl-7,8,9,11,12,13,14,15,16,17-Decahydro-6h-Cyclopenta[a]Phenanthren-7-Yl]-N-Methylundecanamide",31,43,396,991,942,12,104,359.857142857142
Netoglitazone,84,468,610,232,155,589,384,360.285714285714
Fluoxetine,138,1208,110,185,181,262,448,361.714285714285
Titanium dioxide,461,546,190,325,732,82,198,362
Mevastatin,519,243,259,664,393,143,323,363.428571428571
Ceruletide,1019,813,150,186,229,99,60,365.142857142857
Captopril,981,544,95,258,363,220,100,365.857142857142
Riluzole,692,521,124,282,230,364,356,367
Dronabinol,684,967,167,243,323,33,160,368.142857142857
PICEATANNOL,820,135,240,521,237,243,397,370.428571428571
Guanine,669,244,446,183,796,46,214,371.142857142857
Idelalisib,168,412,358,987,483,53,147,372.571428571428
Formaldehyde,1054,259,267,103,463,129,335,372.857142857142
Lidocaine,1075,609,106,158,147,264,286,377.857142857142
Camptothecin,904,130,391,257,72,300,601,379.285714285714
Hydrocortisone,817,713,92,58,239,447,315,383
Zinc oxide,834,219,214,661,228,225,319,385.714285714285
Amphotericin B,834,108,406,353,231,599,181,387.428571428571
Patupilone,534,150,543,554,112,354,486,390.428571428571
Puerarin,103,535,157,322,468,353,813,393
Budesonide,1106,153,262,360,335,350,200,395.142857142857
Estrone sulfate,519,109,367,629,283,366,494,395.285714285714
Serine,247,555,783,125,162,297,598,395.285714285714
"2-(1,1-DIMETHYLETHYL)9-FLUORO-3,6-DIHYDRO-7H-BENZ[H]-IMIDAZ[4,5-F]ISOQUINOLIN-7-ONE",247,112,505,923,397,345,245,396.285714285714
Telmisartan,65,948,198,224,218,728,400,397.285714285714
Hesperetin,142,362,219,913,156,327,664,397.571428571428
Prazosin,666,804,237,144,161,314,463,398.428571428571
Alectinib,184,220,1163,181,523,272,247,398.571428571428
Olomoucine,909,136,425,243,641,103,334,398.714285714285
Ganciclovir,984,307,334,595,355,72,147,399.142857142857
Permethrin,159,240,587,481,236,779,320,400.285714285714
Taurine,810,558,202,193,290,537,212,400.285714285714
Finasteride,640,601,269,695,494,18,91,401.142857142857
Dexanabinol,834,488,279,353,675,32,158,402.714285714285
Cocaine,890,869,62,80,151,384,389,403.571428571428
Guanosine-5'-Triphosphate,1016,750,146,295,279,137,210,404.714285714285
Z-Val-Ala-Asp fluoromethyl ketone,236,440,411,315,550,395,489,405.142857142857
Letrozole,238,506,443,947,180,326,207,406.714285714285
Rilmenidine,534,42,305,1321,453,47,146,406.857142857142
Lactic Acid,887,314,274,247,489,352,293,408
5'-Guanosine-Diphosphate-Monothiophosphate,132,616,529,552,755,135,145,409.142857142857
3-isobutyl-1-methyl-7H-xanthine,499,550,405,310,98,246,759,409.571428571428
Roflumilast,103,376,508,671,565,343,302,409.714285714285
Mitotane,820,116,346,492,179,488,441,411.714285714285
Crizotinib,794,278,272,419,311,422,390,412.285714285714
Sodium Chloride,232,677,173,112,277,822,596,412.714285714285
Afatinib,502,438,429,666,295,362,207,414.142857142857
Probucol,95,617,207,399,407,821,355,414.428571428571
Bezafibrate,815,342,241,469,210,547,284,415.428571428571
Cordycepin,975,111,285,595,263,277,405,415.857142857142
Pelitinib,696,370,545,671,215,294,120,415.857142857142
Ibuprofen,903,715,141,104,447,316,333,422.714285714285
Hydrofluoric acid,46,1136,296,505,207,386,393,424.142857142857
Spironolactone,962,972,136,140,339,238,183,424.285714285714
"(3Z)-N,N-DIMETHYL-2-OXO-3-(4,5,6,7-TETRAHYDRO-1H-INDOL-2-YLMETHYLIDENE)-2,3-DIHYDRO-1H-INDOLE-5-SULFONAMIDE",1026,297,186,718,152,284,313,425.142857142857
Busulfan,909,223,289,274,904,109,270,425.428571428571
"(9Z,11E,13S)-13-hydroxyoctadeca-9,11-dienoic acid",213,273,275,451,376,856,545,427
"2-tert-butylbenzene-1,4-diol",810,286,287,362,331,466,449,427.285714285714
Disulfiram,526,143,204,417,1069,416,218,427.571428571428
Platinum,892,276,510,315,160,304,536,427.571428571428
CEP-1347,834,85,221,1379,227,61,189,428
Amlodipine,981,61,182,236,364,706,477,429.571428571428
Quinolinic Acid,84,777,533,255,225,282,851,429.571428571428
Dexmedetomidine,631,372,183,807,681,71,264,429.857142857142
Carvedilol,225,1352,263,148,358,578,115,434.142857142857
Mitoglitazone,534,300,434,697,618,318,141,434.571428571428
VTP-194204,834,289,343,671,394,293,220,434.857142857142
CI-1040,493,603,455,319,286,480,411,435.285714285714
Donepezil,1096,490,158,345,344,273,361,438.142857142857
Amifostine,247,106,667,1087,142,237,598,440.571428571428
Motesanib,247,483,775,267,346,725,251,442
Daporinad,84,275,683,1258,167,274,360,443
Dacomitinib,290,448,640,831,369,334,197,444.142857142857
GM6001,669,668,447,299,388,533,108,444.571428571428
Gossypol,984,147,210,381,441,458,491,444.571428571428
Prednisone,640,467,511,204,224,495,612,450.428571428571
"(9S,10E,12Z)-9-hydroxyoctadeca-10,12-dienoic acid",178,265,300,745,336,806,532,451.714285714285
Artemisinin,834,142,957,340,249,367,274,451.857142857142
Clodronic Acid,474,76,441,1511,476,30,156,452
Sildenafil,526,330,235,179,500,701,708,454.142857142857
Selumetinib,474,163,400,1160,477,259,257,455.714285714285
Ketamine,809,1085,197,83,373,299,347,456.142857142857
Amitriptyline,808,1010,142,262,127,235,619,457.571428571428
Clenbuterol,661,824,303,374,211,368,469,458.571428571428
"1,10-Phenanthroline",904,585,335,106,271,710,309,460
Zidovudine,631,217,504,284,173,486,935,461.428571428571
Dipyridamole,209,189,276,616,1009,399,535,461.857142857142
Ribavirin,1077,347,353,747,182,287,243,462.285714285714
Daunorubicin,499,295,525,521,178,407,835,465.714285714285
Glycochenodeoxycholic Acid,834,247,393,385,1070,85,254,466.857142857142
Azithromycin,834,154,278,445,276,611,676,467.714285714285
Momelotinib,696,94,974,524,411,248,340,469.571428571428
Isoflurane,1075,516,184,276,440,370,456,473.857142857142
Tacrine,238,784,705,504,198,280,612,474.428571428571
Icariin,213,284,463,932,186,298,964,477.142857142857
WP 1066,909,124,756,697,282,306,267,477.285714285714
Dopamine,682,681,206,157,762,247,620,479.285714285714
Nimesulide,533,868,149,568,502,249,500,481.285714285714
Cabozantinib,474,425,607,222,466,553,624,481.571428571428
Pyrroloquinoline Quinone,184,52,826,923,523,341,532,483
Apocynin,1019,663,207,328,446,368,358,484.142857142857
Midostaurin,184,78,257,1511,1169,36,156,484.428571428571
2-{4-[(2s)-2-[({[(1s)-1-Carboxy-2-Phenylethyl]Amino}Carbonyl)Amino]-3-Oxo-3-(Pentylamino)Propyl]Phenoxy}Malonic Acid,247,296,841,1160,189,252,411,485.142857142857
Sevoflurane,815,528,251,152,367,692,596,485.857142857142
Masoprocol,631,656,307,758,495,213,342,486
Indapamide,184,426,521,459,715,543,572,488.571428571428
"(3BETA)-CHOLEST-5-ENE-3,25-DIOL",964,216,418,568,196,619,444,489.285714285714
Auranofin,1096,460,382,481,341,381,293,490.571428571428
Oxalic Acid,834,152,233,719,443,594,465,491.428571428571
Glyburide,886,760,188,198,251,442,727,493.142857142857
Spermidine,984,279,573,451,503,480,199,495.571428571428
Imipramine,227,1219,336,359,169,681,489,497.142857142857
Framycetin,669,941,512,199,640,114,409,497.714285714285
Nifedipine,656,773,403,206,223,415,810,498
2-deoxyglucose,909,126,489,465,455,410,635,498.428571428571
Purvalanol,1026,311,630,187,839,97,399,498.428571428571
Selenic acid,696,151,1026,378,641,311,289,498.857142857142
Rosuvastatin,887,334,253,252,784,679,309,499.714285714285
Ginsenoside Rg1,59,382,514,1137,785,371,251,499.857142857142
Tarenflurbil,184,292,1261,968,113,219,474,501.571428571428
Dexrazoxane,247,759,824,598,315,507,268,502.571428571428
OSI-930,534,471,721,445,362,760,231,503.428571428571
Palbociclib,474,727,306,807,584,274,365,505.285714285714
Brequinar,834,238,550,497,286,644,494,506.142857142857
Mocetinostat,184,602,1417,255,238,524,326,506.571428571428
6-BENZYL-1-BENZYLOXYMETHYL-5-ISOPROPYL URACIL,290,81,430,1728,881,14,123,506.714285714285
Acadesine,290,81,430,1728,881,14,123,506.714285714285
GSK-690693,290,81,430,1728,881,14,123,506.714285714285
Ipatasertib,290,81,430,1728,881,14,123,506.714285714285
L-Tyrosine,184,1007,454,266,503,533,603,507.142857142857
Chenodeoxycholic acid,1049,654,368,431,285,471,296,507.714285714285
Galunisertib,290,266,922,641,288,596,554,508.142857142857
Lonidamine,151,146,349,1656,993,88,176,508.428571428571
ZSTK-474,696,193,436,1078,1000,4,154,508.714285714285
"{4-[2-Acetylamino-2-(3-Carbamoyl-2-Cyclohexylmethoxy-6,7,8,9-Tetrahydro-5h-Benzocyclohepten-5ylcarbamoyl)-Ethyl]-2-Phosphono-Phenyl}-Phosphonic Acid",1147,165,310,570,415,553,414,510.571428571428
DPI59,1147,165,310,570,415,553,414,510.571428571428
ISO24,1147,165,310,570,415,553,414,510.571428571428
PAS219,1147,165,310,570,415,553,414,510.571428571428
PASBN,1147,165,310,570,415,553,414,510.571428571428
Phenylphosphate,1147,165,310,570,415,553,414,510.571428571428
RU78191,1147,165,310,570,415,553,414,510.571428571428
RU78262,1147,165,310,570,415,553,414,510.571428571428
RU78299,1147,165,310,570,415,553,414,510.571428571428
RU78300,1147,165,310,570,415,553,414,510.571428571428
RU78783,1147,165,310,570,415,553,414,510.571428571428
RU79072,1147,165,310,570,415,553,414,510.571428571428
RU79073,1147,165,310,570,415,553,414,510.571428571428
RU79256,1147,165,310,570,415,553,414,510.571428571428
RU81843,1147,165,310,570,415,553,414,510.571428571428
RU82129,1147,165,310,570,415,553,414,510.571428571428
RU82197,1147,165,310,570,415,553,414,510.571428571428
RU82209,1147,165,310,570,415,553,414,510.571428571428
RU83876,1147,165,310,570,415,553,414,510.571428571428
RU84687,1147,165,310,570,415,553,414,510.571428571428
RU85053,1147,165,310,570,415,553,414,510.571428571428
RU85493,1147,165,310,570,415,553,414,510.571428571428
RU90395,1147,165,310,570,415,553,414,510.571428571428
Calcidiol,820,473,639,211,511,361,570,512.142857142857
Enoxolone,1110,194,170,340,559,805,409,512.428571428571
Bradykinin,534,291,711,472,1132,111,340,513
2-(4-(2-HYDROXY-3-(ISOPROPYLAMINO)PROPOXY)PHENYL)ETHANAMIDE,1080,263,295,156,1237,388,189,515.428571428571
Tadalafil,184,69,435,1750,1011,23,136,515.428571428571
Rhein,151,669,655,881,115,290,851,516
Ferulic acid,461,287,414,509,1323,162,458,516.285714285714
Acteoside,461,378,448,908,475,396,562,518.285714285714
1-Methoxy-2-[2-(2-Methoxy-Ethoxy]-Ethane,534,340,623,486,636,802,242,523.285714285714
Bardoxolone,474,443,499,843,540,333,532,523.428571428571
Sapitinib,290,337,869,1137,370,437,231,524.428571428571
Solamargine,290,337,869,1137,370,437,231,524.428571428571
Androstenedione,640,102,666,991,260,432,594,526.428571428571
Cyproheptadine,1017,856,250,435,743,146,240,526.714285714285
Amodiaquine,820,389,819,465,240,414,548,527.857142857142
Beta-Mercaptoethanol,1077,1370,181,305,93,317,364,529.571428571428
Leukotriene B4,1061,357,438,299,365,601,591,530.285714285714
Agmatine,975,974,271,464,816,86,129,530.714285714285
Melphalan,661,830,191,467,1150,58,366,531.857142857142
Ethanolamine,534,371,704,768,684,354,309,532
Bupropion,794,159,398,809,671,267,632,532.857142857142
Flunisolide,1147,420,292,645,411,448,369,533.142857142857
Cyclohexanol,534,410,407,1002,590,392,402,533.857142857142
Ellagic Acid,1092,332,252,233,512,634,688,534.714285714285
5-phenyl-1H-indazol-3-amine,290,269,711,678,758,671,374,535.857142857142
Fedratinib,290,269,711,678,758,671,374,535.857142857142
Artesunate,640,439,369,404,807,537,567,537.571428571428
"(10E,12Z)-octadeca-10,12-dienoic acid",238,686,439,240,1009,644,519,539.285714285714
Gadolinium,696,499,496,445,551,505,586,539.714285714285
Sorbitol,669,96,139,1858,172,211,634,539.857142857142
Didanosine,111,312,1265,968,216,245,676,541.857142857142
5-iodotubercidin,696,428,730,294,1117,139,391,542.142857142857
Mevalonic acid,1054,429,291,133,815,613,470,543.571428571428
Vardenafil,184,478,602,537,1011,402,598,544.571428571428
Sphingosine,669,995,341,247,626,493,454,546.428571428571
DPDPE,909,708,359,391,522,490,465,549.142857142857
Adenosine 5'-[γ-thio]triphosphate,1061,1055,176,247,374,702,230,549.285714285714
{4-[3-(4-acetyl-3-hydroxy-2-propylphenoxy)propoxy]phenoxy}acetic acid,909,529,719,242,488,400,562,549.857142857142
Mercaptopurine,461,694,567,353,438,885,452,550
Phenolphthalein,502,343,658,968,254,319,808,550.285714285714
Triflusal,290,453,742,541,445,845,554,552.857142857142
L-Lysine,964,712,575,236,245,431,741,557.714285714285
Indirubin,1026,149,1087,130,217,263,1038,558.571428571428
Amphetamine,1119,1298,189,176,318,202,622,560.571428571428
Verapamil,1052,1407,140,127,143,700,359,561.142857142857
Clofibrate,684,196,522,521,190,902,916,561.571428571428
Vesnarinone,151,1270,354,934,483,301,444,562.428571428571
Alsterpaullone,1147,678,617,418,284,357,438,562.714285714285
Amuvatinib,696,422,657,881,340,699,250,563.571428571428
Hexachlorophene,696,241,855,279,259,876,760,566.571428571428
